Calico Sign Carver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales worksheet 2024 - Daily Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sun,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri
,YTD,FULL YEAR,31-Dec,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,29-Feb,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,1-Aug,2-Aug,3-Aug,4-Aug,5-Aug,6-Aug,7-Aug,8-Aug,9-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,1-Nov,2-Nov,3-Nov,4-Nov,5-Nov,6-Nov,7-Nov,8-Nov,9-Nov,10-Nov,11-Nov,12-Nov,13-Nov,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,1-Dec,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,10-Dec,11-Dec,12-Dec,13-Dec,14-Dec,15-Dec,16-Dec,17-Dec,18-Dec,19-Dec,20-Dec,21-Dec,22-Dec,23-Dec,24-Dec,25-Dec,26-Dec,27-Dec,28-Dec,29-Dec,30-Dec,31-Dec,1-Jan,2-Jan,3-Jan
2023 Actual,$0.00,"$304,785.24","$1,015.00",$935.00,$155.00,$420.00,,"$1,486.20","$1,963.00",$451.00,$566.00,,$714.00,$109.00,$393.00,,$455.00,$438.00,$710.00,$279.00,$571.00,$419.00,"$1,123.00","$1,197.00",$831.00,$202.00,$346.00,$909.00,"$1,055.00","$1,404.00",$481.00,$863.00,$179.00,$40.00,$541.00,"$1,118.00","$1,942.00",$655.00,$672.00,$890.00,$228.00,$353.00,$272.00,"$1,124.00","$1,158.00",$482.00,$641.00,$556.00,$620.00,$838.00,"$1,176.00","$1,334.10","$1,461.00",$198.00,$485.00,$533.00,,,$15.00,$110.00,$148.00,$573.00,$840.00,"$1,865.00","$1,658.00",$784.50,$228.95,$84.00,$356.00,$328.00,,"$1,114.00","$1,221.00","$1,015.00",,$831.00,"$1,162.00","$1,245.00","$1,988.00",$637.00,$66.99,,$74.00,"$1,073.00",$884.00,"$2,026.00","$1,067.00","$1,572.00","$1,252.00",$490.00,$488.00,$904.00,"$1,659.20","$1,417.00",$601.00,$628.00,$990.00,"$1,571.00","$1,055.00","$1,864.00",$556.00,"$2,209.00","$1,103.00","$1,818.00","$1,423.00",$510.00,"$2,779.00","$1,410.00",$296.00,$209.00,$263.00,$911.00,$726.00,"$1,491.00",$662.00,"$1,453.50",$232.75,$250.00,$659.00,$902.00,$914.00,"$1,211.00",$357.00,$263.00,$455.65,$943.00,$664.00,"$1,439.00",$924.55,$852.00,$357.00,$273.00,$262.00,"$1,488.00","$1,821.00","$1,688.00",$893.00,$285.00,$568.00,$278.00,"$1,156.00","$2,452.80","$1,104.00",,,,,,,,$446.00,$567.00,$664.53,$200.00,$386.00,$927.00,$839.00,,,,,,,,"$1,301.00",$511.00,"$1,355.00","$1,005.00","$1,326.68",$380.62,"$1,232.75",$489.00,$408.75,$421.00,$998.50,$636.00,"$1,542.00",$792.00,$599.00,"$1,853.00","$1,523.00",$663.00,"$1,216.00","$1,306.00","$1,060.00","$1,039.00","$1,128.00","$1,352.00",$627.00,"$1,251.00","$2,261.00",$805.00,$616.00,$896.00,$252.00,$810.50,"$1,459.00","$1,373.00",$281.00,$505.00,"$2,222.00",$326.00,$561.00,$293.00,"$1,416.00",$728.00,$852.00,$689.00,$653.00,$486.00,"$1,103.00","$1,229.00","$1,105.00",$920.00,$465.00,$362.00,$716.00,$260.00,"$1,865.00","$1,255.00",$771.00,$154.00,$335.00,"$1,621.00",$905.56,"$1,099.00","$1,327.00",$549.00,$501.00,$560.00,$304.00,"$1,163.00","$1,360.00",,$479.00,$370.00,$211.50,,$146.00,"$1,585.00","$1,294.00",$250.00,$389.00,$127.00,$218.00,$597.00,"$1,944.90","$2,114.00","$1,202.00",$190.00,$440.00,$439.00,$587.00,$930.80,$172.00,$116.00,$565.00,$470.00,$738.00,$350.00,"$1,213.00",$427.00,$240.00,$518.00,$516.00,$362.00,"$1,150.00","$3,446.00",$625.00,$642.00,,$100.00,$295.00,$378.00,"$1,506.00",$759.00,"$1,388.00",$231.00,$423.00,$404.00,"$1,352.00","$1,563.00",$954.00,$656.00,$510.00,$630.00,$414.00,"$1,709.00","$1,723.00",$933.50,$335.00,$100.00,$759.00,$483.00,"$1,394.00","$1,429.00",$647.00,$516.00,$270.00,"$7,514.00","$1,031.00","$1,410.00","$1,496.00",$674.40,$421.00,$214.00,$384.00,$431.00,"$1,295.00","$1,213.00","$1,408.00",$663.00,$420.00,$209.00,$645.00,"$2,378.00","$1,745.00",$816.00,$821.00,$150.00,$50.00,$273.00,"$1,112.00",$777.00,"$1,287.00","$1,467.00",$785.00,$0.00,$817.00,"$2,111.00","$1,437.00",$737.00,$826.00,$483.00,$129.00,$388.00,$976.75,$930.00,"$1,998.00","$1,110.00",$357.00,$455.00,$695.00,$890.71,"$1,778.80","$1,935.00","$1,340.00",$676.00,$900.00,$869.00,"$1,303.59","$2,001.71","$1,992.00","$1,380.00",$551.00,$700.00,"$1,289.00","$1,296.00","$2,662.00","$1,166.00",,"$1,384.00","$2,347.50",$613.00,"$1,622.00","$2,162.00","$1,617.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Budget,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024 Actual,$0.00 ,"$329,770.83 ",,587,1787,650,2404,587.84,1296,310,172,268,1090,146,705,1570,768,2253,410,106,418,278,144,255,0,341,1005,111,484,425,388,0,240,515,0,740,418,106,0,0,50,162,480,1191,1809,1377,230,300,307,94,1545,1595,0,0,123,630,716,1164,887,706,317,275,456,953,613,986,661,415,140,950,927,1297,643,806,762,755,1035,2067,1635,1398,986,480.88,502,1803.75,806,1272,1708,878,241,1635,1018,1918,222,250,460,864,1324,1493,762,1316,817,429,550,50,164,1234,896,592,1530,1438,433,776,940,2145,1130,662,435,180,220,978,1632,1081,150,108,307,124,924,1358,1773,394,293,480,564,1657,1228,1763,503,250,45,528,1394,1741,1079,547,743,601,48,1626,1922,2839,597,838,566,1124,992,762,1667,974,435,382,889,1833,1331,868,1469,538,865,480,1338,1320,948,1012,667,1158,527,1196,1740,871,527,799,568,1446,1229,611,734,1141,1202,1076,384,1249,2297,1343,1162.71,523,342,426,1178,1522,143,876,1098,1199,435,1212,1318,1090,724.88,1319.38,920,503,600.22,1947,838,710,611,1096,490,947,1847,518,1850,312,684,790,799,1730,1095,436,226,677,373,758,1618,1580,776,236,117,431,147,1403,1092,530,274,814,714,1500.95,2608.5,1188,1030,178,272,461,497,923,214,334,129,201,58,650,920,1013,522,1165,358,568,660,1879,679,206.88,,,845,922,1328,1497,234,122,511,1631,787,1064,1636,561.12,456.37,1126,1301,990,1385,857,899,696,1328.6,827,1155,1380,1331,,492,922,718,763,1768,1008,1056,913,981.78,1229,1024,746,635,65,654,158,831,264,1377,936,1629,725,1150,609,739,587.5,178,1152,457.2,791,1277.37,718.6,2008,783,1007,268,2251,451,2313,3184,504,669,1086,664,1054,386,2030,1612,1326.75,1026.05,2290,1314,681,2535.25,1794,1348,935,1084,902,1338,2620,3270,3117.25,925,0,2626,4149,1409,1767,1677,2011.75,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variance to Prior Year,"$26,616.59 ",,$0.00 ,($348.00),"$1,632.00 ",$230.00 ,"$2,404.00 ",($898.36),($667.00),($141.00),($394.00),$268.00 ,$376.00 ,$37.00 ,$312.00 ,"$1,570.00 ",$313.00 ,"$1,815.00 ",($300.00),($173.00),($153.00),($141.00),($979.00),($942.00),($831.00),$139.00 ,$659.00 ,($798.00),($571.00),($979.00),($93.00),($863.00),$61.00 ,$475.00 ,($541.00),($378.00),"($1,524.00)",($549.00),($672.00),($890.00),($178.00),($191.00),$208.00 ,$67.00 ,$651.00 ,$895.00 ,($411.00),($256.00),($313.00),($744.00),$369.00 ,$260.90 ,"($1,461.00)",($198.00),($362.00),$97.00 ,$716.00 ,"$1,164.00 ",$872.00 ,$596.00 ,$169.00 ,($298.00),($384.00),($912.00),"($1,045.00)",$201.50 ,$432.05 ,$331.00 ,($216.00),$622.00 ,$927.00 ,$183.00 ,($578.00),($209.00),$762.00 ,($76.00),($127.00),$822.00 ,($353.00),$761.00 ,$919.01 ,$480.88 ,$428.00 ,$730.75 ,($78.00),($754.00),$641.00 ,($694.00),"($1,011.00)","$1,145.00 ",$530.00 ,"$1,014.00 ","($1,437.20)","($1,167.00)",($141.00),$236.00 ,$334.00 ,($78.00),($293.00),($548.00),$261.00 ,"($1,780.00)",($553.00),"($1,768.00)","($1,259.00)",$724.00 ,"($1,883.00)",($818.00),"$1,234.00 ","$1,229.00 ",$170.00 ,($135.00),$214.00 ,$654.00 ,$468.00 ,($791.50),$202.25 ,($70.00),($439.00),$76.00 ,$718.00 ,($130.00),($207.00),($155.00),($148.65),($819.00),$260.00 ,($81.00),$848.45 ,($458.00),($64.00),$207.00 ,$302.00 ,$169.00 ,($593.00),$75.00 ,($390.00),($35.00),($523.00),$250.00 ,$238.00 ,($711.80),($25.00),$547.00 ,$743.00 ,$601.00 ,$48.00 ,"$1,626.00 ","$1,922.00 ","$2,839.00 ",$151.00 ,$271.00 ,($98.53),$924.00 ,$606.00 ,($165.00),$828.00 ,$974.00 ,$435.00 ,$382.00 ,$889.00 ,"$1,833.00 ","$1,331.00 ",$868.00 ,$168.00 ,$27.00 ,($490.00),($525.00),$11.32 ,$939.38 ,($284.75),$523.00 ,$258.25 ,$737.00 ,($471.50),$560.00 ,$198.00 ,$79.00 ,($72.00),"($1,054.00)",($955.00),$783.00 ,$13.00 ,($695.00),($326.00),$102.00 ,$74.00 ,($276.00),($243.00),($2.00),$36.00 ,$538.00 ,$546.71 ,($373.00),$90.00 ,($384.50),($281.00),$149.00 ,($138.00),$371.00 ,"($1,124.00)",$873.00 ,($126.00),$919.00 ,($98.00),$362.00 ,($127.12),$630.38 ,$267.00 ,$17.00 ,($502.78),$718.00 ,($267.00),($210.00),$146.00 ,$734.00 ,($226.00),$687.00 ,($18.00),($737.00),"$1,079.00 ",$158.00 ,$349.00 ,($831.00),($106.56),$631.00 ,($232.00),($113.00),($275.00),$117.00 ,$69.00 ,($405.00),$258.00 ,"$1,580.00 ",$297.00 ,($134.00),($94.50),$431.00 ,$1.00 ,($182.00),($202.00),$280.00 ,($115.00),$687.00 ,$496.00 ,$903.95 ,$663.60 ,($926.00),($172.00),($12.00),($168.00),$22.00 ,($90.00),($7.80),$42.00 ,$218.00 ,($436.00),($269.00),($680.00),$300.00 ,($293.00),$586.00 ,$282.00 ,$647.00 ,($158.00),$206.00 ,($490.00),"($1,567.00)",$54.00 ,($435.12),$0.00 ,$0.00 ,$550.00 ,$544.00 ,($178.00),$738.00 ,"($1,154.00)",($109.00),$88.00 ,"$1,227.00 ",($565.00),($499.00),$682.00 ,($94.88),($53.63),$496.00 ,$887.00 ,($719.00),($338.00),($76.50),$564.00 ,$596.00 ,$569.60 ,$344.00 ,($239.00),($49.00),$684.00 ,$0.00 ,$222.00 ,"($6,592.00)",($313.00),($647.00),$272.00 ,$333.60 ,$635.00 ,$699.00 ,$597.78 ,$798.00 ,($271.00),($467.00),($773.00),($598.00),$234.00 ,($51.00),$186.00 ,"($2,114.00)",($368.00),$120.00 ,$808.00 ,$575.00 ,"$1,100.00 ",$336.00 ,($373.00),($189.50),"($1,109.00)",($315.00),($327.80),$791.00 ,$460.37 ,"($1,392.40)",$571.00 ,$46.00 ,$181.00 ,($215.00),"$2,122.00 ",$63.00 ,"$1,336.25 ","$2,254.00 ","($1,494.00)",($441.00),$729.00 ,$209.00 ,$359.00 ,($504.71),$251.20 ,($323.00),($13.25),$350.05 ,"$1,390.00 ",$445.00 ,($622.59),$533.54 ,($198.00),($32.00),$384.00 ,$384.00 ,($387.00),$42.00 ,($42.00),"$2,104.00 ","$3,117.25 ",($459.00),"($2,347.50)","$2,013.00 ","$2,527.00 ",($753.00),$150.00 ,"$1,677.00 ",,,,
Variance to Budget,"$329,770.83 ",,0,587,1787,650,2404,587.84,1296,310,172,268,1090,146,705,1570,768,2253,410,106,418,278,144,255,0,341,1005,111,484,425,388,0,240,515,0,740,418,106,0,0,50,162,480,1191,1809,1377,230,300,307,94,1545,1595,0,0,123,630,716,1164,887,706,317,275,456,953,613,986,661,415,140,950,927,1297,643,806,762,755,1035,2067,1635,1398,986,480.88,502,1803.75,806,1272,1708,878,241,1635,1018,1918,222,250,460,864,1324,1493,762,1316,817,429,550,50,164,1234,896,592,1530,1438,433,776,940,2145,1130,662,435,180,220,978,1632,1081,150,108,307,124,924,1358,1773,394,293,480,564,1657,1228,1763,503,250,45,528,1394,1741,1079,547,743,601,48,1626,1922,2839,597,838,566,1124,992,762,1667,974,435,382,889,1833,1331,868,1469,538,865,480,1338,1320,948,1012,667,1158,527,1196,1740,871,527,799,568,1446,1229,611,734,1141,1202,1076,384,1249,2297,1343,1162.71,523,342,426,1178,1522,143,876,1098,1199,435,1212,1318,1090,724.88,1319.38,920,503,600.22,1947,838,710,611,1096,490,947,1847,518,1850,312,684,790,799,1730,1095,436,226,677,373,758,1618,1580,776,236,117,431,147,1403,1092,530,274,814,714,1500.95,2608.5,1188,1030,178,272,461,497,923,214,334,129,201,58,650,920,1013,522,1165,358,568,660,1879,679,206.88,0,0,845,922,1328,1497,234,122,511,1631,787,1064,1636,561.12,456.37,1126,1301,990,1385,857,899,696,1328.6,827,1155,1380,1331,0,492,922,718,763,1768,1008,1056,913,981.78,1229,1024,746,635,65,654,158,831,264,1377,936,1629,725,1150,609,739,587.5,178,1152,457.2,791,1277.37,718.6,2008,783,1007,268,2251,451,2313,3184,504,669,1086,664,1054,386,2030,1612,1326.75,1026.05,2290,1314,681,2535.25,1794,1348,935,1084,902,1338,2620,3270,3117.25,925,0,2626,4149,1409,1767,1677,,,,
